case,file,problematic,oracle_records,oracle_resolved,all_oracle_scored,all_tp,all_fp,all_fn,statement_oracle_scored,statement_tp,statement_fp,statement_fn,codediff_ms
Closure-133,src_com_google_javascript_jscomp_parsing_JsDocInfoParser.json,false,8415,7059,97,97,0,0,6,6,0,0,64.240
Closure-135,src_com_google_javascript_jscomp_DevirtualizePrototypeMethods.json,false,1189,915,72,72,0,0,17,17,0,0,4.723
Closure-137,src_com_google_javascript_jscomp_Normalize.json,true,2043,1666,90,90,0,0,14,14,0,0,13.543
Closure-138,src_com_google_javascript_jscomp_ClosureReverseAbstractInterpreter.json,false,989,782,154,154,0,0,23,23,0,0,6.753
Closure-14,src_com_google_javascript_jscomp_ControlFlowAnalysis.json,false,3933,3254,333,333,0,0,70,70,0,0,20.660
Closure-144,src_com_google_javascript_rhino_jstype_FunctionType.json,false,3108,2459,70,70,1,0,7,7,0,0,14.176
Closure-147,src_com_google_javascript_jscomp_CheckGlobalThis.json,false,593,451,216,213,3,3,37,37,0,0,2.689
Closure-149,src_com_google_javascript_jscomp_CommandLineRunner.json,true,1961,1625,82,82,0,0,18,18,0,0,12.245
Closure-165,src_com_google_javascript_rhino_jstype_RecordTypeBuilder.json,false,225,169,32,32,0,0,8,8,0,0,0.755
Closure-168,src_com_google_javascript_jscomp_TypedScopeCreator.json,false,8611,6813,256,256,0,0,42,42,0,0,47.115
Closure-18,src_com_google_javascript_jscomp_Compiler.json,false,9034,7286,468,468,0,0,88,88,0,0,47.534
Closure-19,src_com_google_javascript_jscomp_type_ChainableReverseAbstractInterpreter.json,false,2287,1706,112,112,0,0,20,20,0,0,10.651
Closure-28,src_com_google_javascript_jscomp_InlineCostEstimator.json,false,254,213,18,18,0,0,3,3,0,0,0.985
Closure-30,src_com_google_javascript_jscomp_FlowSensitiveInlineVariables.json,false,1684,1331,41,40,1,1,7,7,0,0,8.838
Closure-31,src_com_google_javascript_jscomp_Compiler.json,false,8840,7126,553,551,2,2,107,107,0,0,44.920
Closure-34,src_com_google_javascript_jscomp_CodePrinter.json,true,2147,1792,66,66,0,0,16,16,0,0,9.550
Closure-37,src_com_google_javascript_jscomp_NodeTraversal.json,false,2481,1915,182,181,1,1,24,24,0,0,8.931
Closure-38,src_com_google_javascript_jscomp_CodeConsumer.json,false,806,694,159,159,0,0,28,28,0,0,3.345
Closure-44,src_com_google_javascript_jscomp_CodeConsumer.json,false,783,672,77,77,0,0,14,14,0,0,3.093
Closure-52,src_com_google_javascript_jscomp_CodeGenerator.json,false,4966,4190,83,82,1,1,13,13,0,0,29.492
Closure-57,src_com_google_javascript_jscomp_ClosureCodingConvention.json,false,1446,1174,99,98,1,1,21,21,0,0,6.571
Closure-62,src_com_google_javascript_jscomp_LightweightMessageFormatter.json,false,679,563,204,204,0,0,38,38,0,0,3.180
Closure-65,src_com_google_javascript_jscomp_CodeGenerator.json,false,4966,4190,354,354,0,0,72,72,0,0,29.959
Closure-66,src_com_google_javascript_jscomp_TypeCheck.json,false,7325,5995,1257,1257,0,0,279,279,0,0,40.927
Closure-67,src_com_google_javascript_jscomp_AnalyzePrototypeProperties.json,false,2649,2138,139,136,3,3,17,17,0,0,14.041
Closure-70,src_com_google_javascript_jscomp_TypedScopeCreator.json,false,7759,6191,133,133,0,0,23,23,0,0,43.995
Closure-71,src_com_google_javascript_jscomp_CheckAccessControls.json,false,2475,2009,360,360,0,0,53,53,0,0,12.138
Closure-72,src_com_google_javascript_jscomp_FunctionToBlockMutator.json,false,1540,1188,54,54,0,0,8,8,0,0,5.867
Closure-72,src_com_google_javascript_jscomp_RenameLabels.json,false,859,651,142,142,0,0,27,27,0,0,3.806
Closure-73,src_com_google_javascript_jscomp_CodeGenerator.json,false,4903,4138,353,353,0,0,72,72,0,0,28.985
Closure-77,src_com_google_javascript_jscomp_CodeGenerator.json,false,4764,4017,345,345,0,0,69,69,0,0,28.625
Closure-78,src_com_google_javascript_jscomp_PeepholeFoldConstants.json,false,6432,5516,341,341,0,0,68,68,0,0,35.256
Closure-79,src_com_google_javascript_jscomp_Normalize.json,false,2926,2361,108,107,1,1,17,17,0,0,19.382
Closure-79,src_com_google_javascript_jscomp_VarCheck.json,false,986,821,72,72,0,0,11,11,0,0,4.736
Closure-80,src_com_google_javascript_jscomp_NodeUtil.json,false,10192,8042,419,418,2,1,66,65,2,1,53.849
Closure-86,src_com_google_javascript_jscomp_NodeUtil.json,false,8451,6597,353,353,0,0,46,46,0,0,43.770
Closure-89,src_com_google_javascript_jscomp_GlobalNamespace.json,false,3781,2995,115,114,1,1,22,22,0,0,19.849
Closure-90,src_com_google_javascript_jscomp_FunctionTypeBuilder.json,false,2889,2314,71,70,1,1,11,11,0,0,13.299
Closure-92,src_com_google_javascript_jscomp_ProcessClosurePrimitives.json,false,3845,3105,286,286,0,0,50,50,0,0,20.482
Codec-1,src_java_org_apache_commons_codec_language_Caverphone.json,false,879,732,661,661,0,0,68,68,0,0,3.662
Codec-1,src_java_org_apache_commons_codec_language_Metaphone.json,false,1597,1322,989,989,2,0,191,191,0,0,9.274
Codec-1,src_java_org_apache_commons_codec_language_SoundexUtils.json,false,347,220,110,110,2,0,20,20,0,0,1.154
Codec-10,src_java_org_apache_commons_codec_language_Caverphone.json,false,885,734,663,663,0,0,68,68,0,0,3.816
Codec-16,src_main_java_org_apache_commons_codec_binary_Base32.json,false,2784,2448,249,249,0,0,3,3,0,0,16.381
Codec-17,src_main_java_org_apache_commons_codec_binary_StringUtils.json,false,1279,534,41,41,0,0,6,6,0,0,2.362
Codec-2,src_java_org_apache_commons_codec_binary_Base64.json,false,3240,2644,464,463,1,1,61,61,0,0,12.911
Codec-3,src_java_org_apache_commons_codec_language_DoubleMetaphone.json,false,5473,4860,477,477,0,0,53,53,0,0,30.598
Codec-4,src_java_org_apache_commons_codec_binary_Base64.json,false,3604,2852,79,79,1,0,4,4,0,0,13.476
Codec-7,src_java_org_apache_commons_codec_binary_Base64.json,false,3645,2881,95,95,0,0,6,6,0,0,13.769
Codec-8,src_java_org_apache_commons_codec_binary_Base64InputStream.json,false,463,329,156,156,0,0,34,34,0,0,2.042
Codec-9,src_java_org_apache_commons_codec_binary_Base64.json,false,3574,2782,156,156,0,0,17,17,0,0,13.946
Collections-26,src_main_java_org_apache_commons_collections4_keyvalue_MultiKey.json,false,694,407,41,41,0,0,6,6,0,0,1.814
Compress-1,src_main_java_org_apache_commons_compress_archivers_cpio_CpioArchiveOutputStream.json,false,1674,1389,46,46,0,0,8,8,0,0,8.181
Compress-11,src_main_java_org_apache_commons_compress_archivers_ArchiveStreamFactory.json,false,745,527,251,251,0,0,56,56,0,0,3.273
Compress-19,src_main_java_org_apache_commons_compress_archivers_zip_Zip64ExtendedInformationExtraField.json,false,1103,891,169,169,0,0,31,31,0,0,3.987
Compress-23,src_main_java_org_apache_commons_compress_archivers_sevenz_Coders.json,true,1284,1127,100,100,0,0,17,17,0,0,7.401
Compress-25,src_main_java_org_apache_commons_compress_archivers_zip_ZipArchiveInputStream.json,false,4005,3374,111,111,0,0,12,12,0,0,19.587
Compress-26,src_main_java_org_apache_commons_compress_utils_IOUtils.json,false,540,371,71,71,0,0,15,15,0,0,1.493
Compress-29,src_main_java_org_apache_commons_compress_archivers_cpio_CpioArchiveInputStream.json,false,2201,1796,64,64,0,0,10,10,0,0,8.955
Compress-29,src_main_java_org_apache_commons_compress_archivers_cpio_CpioArchiveOutputStream.json,false,2233,1807,97,97,0,0,20,20,0,0,9.160
Compress-29,src_main_java_org_apache_commons_compress_archivers_dump_DumpArchiveInputStream.json,false,1942,1599,174,174,0,0,28,28,0,0,9.483
Compress-29,src_main_java_org_apache_commons_compress_archivers_tar_TarArchiveInputStream.json,false,2247,1729,99,99,0,0,13,13,0,0,9.830
Compress-29,src_main_java_org_apache_commons_compress_archivers_tar_TarArchiveOutputStream.json,false,2536,2032,116,116,0,0,15,15,0,0,10.614
Compress-29,src_main_java_org_apache_commons_compress_archivers_zip_ZipArchiveInputStream.json,false,4011,3374,117,117,0,0,13,13,0,0,18.993
Compress-33,src_main_java_org_apache_commons_compress_compressors_deflate_DeflateCompressorInputStream.json,false,263,179,17,17,0,0,2,2,0,0,0.811
Compress-38,src_main_java_org_apache_commons_compress_archivers_tar_TarArchiveEntry.json,false,3762,2781,140,140,0,0,14,14,0,0,13.002
Compress-4,src_main_java_org_apache_commons_compress_archivers_cpio_CpioArchiveOutputStream.json,false,1581,1290,45,45,0,0,8,8,0,0,6.402
Compress-4,src_main_java_org_apache_commons_compress_archivers_tar_TarArchiveOutputStream.json,false,950,749,50,50,0,0,9,9,0,0,3.603
Compress-4,src_main_java_org_apache_commons_compress_archivers_zip_ZipArchiveOutputStream.json,false,3158,2451,96,96,0,0,10,10,0,0,12.544
Compress-4,src_main_java_org_apache_commons_compress_changes_ChangeSetPerformer.json,false,664,500,334,334,0,0,55,55,0,0,3.142
Compress-42,src_main_java_org_apache_commons_compress_archivers_zip_UnixStat.json,false,78,57,20,20,0,0,2,2,0,0,0.169
Compress-42,src_main_java_org_apache_commons_compress_archivers_zip_ZipArchiveEntry.json,false,2777,2043,79,79,0,0,5,5,0,0,10.521
Compress-44,src_main_java_org_apache_commons_compress_utils_ChecksumCalculatingInputStream.json,false,247,194,39,39,0,0,8,8,0,0,0.809
Csv-1,src_main_java_org_apache_commons_csv_ExtendedBufferedReader.json,false,420,315,49,48,1,1,10,10,0,0,1.502
Csv-11,src_main_java_org_apache_commons_csv_CSVParser.json,false,1606,1021,220,220,0,0,33,33,0,0,5.771
Csv-12,src_main_java_org_apache_commons_csv_CSVFormat.json,false,3049,1859,73,72,1,1,3,3,0,0,9.547
Csv-13,src_main_java_org_apache_commons_csv_CSVFormat.json,false,3962,2364,100,97,3,3,3,3,0,0,12.248
Csv-14,src_main_java_org_apache_commons_csv_CSVFormat.json,false,5859,3639,490,490,6,0,82,82,0,0,18.654
Csv-2,src_main_java_org_apache_commons_csv_CSVRecord.json,false,453,309,65,65,0,0,10,10,0,0,1.231
Csv-4,src_main_java_org_apache_commons_csv_CSVParser.json,false,1422,924,45,45,0,0,5,5,0,0,5.208
Csv-5,src_main_java_org_apache_commons_csv_CSVPrinter.json,false,1501,1224,55,55,0,0,7,7,0,0,6.501
Csv-6,src_main_java_org_apache_commons_csv_CSVRecord.json,false,667,445,78,78,0,0,10,10,0,0,2.139
Gson-11,gson_src_main_java_com_google_gson_internal_bind_TypeAdapters.json,false,5184,4236,69,68,2,1,16,15,2,1,29.993
Gson-13,gson_src_main_java_com_google_gson_stream_JsonReader.json,false,5602,5016,468,465,3,3,95,95,0,0,29.215
Gson-15,gson_src_main_java_com_google_gson_stream_JsonWriter.json,false,1858,1422,93,93,0,0,14,14,0,0,8.523
Gson-5,gson_src_main_java_com_google_gson_internal_bind_util_ISO8601Utils.json,false,1683,1380,738,738,0,0,122,122,0,0,9.477
Gson-6,gson_src_main_java_com_google_gson_internal_bind_JsonAdapterAnnotationTypeAdapterFactory.json,false,282,219,134,134,0,0,22,22,0,0,1.504
JacksonCore-11,src_main_java_com_fasterxml_jackson_core_sym_ByteQuadsCanonicalizer.json,false,4903,4557,106,106,0,0,12,12,0,0,23.136
JacksonCore-12,src_main_java_com_fasterxml_jackson_core_json_UTF8StreamJsonParser.json,false,14298,13616,115,115,0,0,9,9,0,0,78.589
JacksonCore-13,src_main_java_com_fasterxml_jackson_core_json_JsonGeneratorImpl.json,false,403,317,25,25,0,0,2,2,0,0,1.555
JacksonCore-21,src_main_java_com_fasterxml_jackson_core_filter_FilteringParserDelegate.json,false,3232,2842,788,788,0,0,177,177,0,0,17.160
JacksonCore-25,src_main_java_com_fasterxml_jackson_core_json_ReaderBasedJsonParser.json,false,10591,9969,257,257,0,0,42,42,0,0,57.923
JacksonCore-26,src_main_java_com_fasterxml_jackson_core_json_async_NonBlockingJsonParser.json,false,11558,11090,155,155,0,0,22,22,0,0,67.156
JacksonCore-3,src_main_java_com_fasterxml_jackson_core_json_UTF8StreamJsonParser.json,false,12271,11643,136,136,0,0,20,20,0,0,74.196
JacksonCore-5,src_main_java_com_fasterxml_jackson_core_JsonPointer.json,false,893,731,126,125,0,1,22,22,0,0,3.321
JacksonCore-8,src_main_java_com_fasterxml_jackson_core_util_TextBuffer.json,false,2259,2044,90,90,0,0,14,14,0,0,10.438
JacksonDatabind-1,src_main_java_com_fasterxml_jackson_databind_ser_BeanPropertyWriter.json,false,2220,1720,234,234,0,0,44,44,0,0,9.280
JacksonDatabind-103,src_main_java_com_fasterxml_jackson_databind_DatabindContext.json,false,1170,853,155,154,0,1,29,29,0,0,4.292
JacksonDatabind-103,src_main_java_com_fasterxml_jackson_databind_deser_BasicDeserializerFactory.json,false,9299,7766,252,251,0,1,34,34,0,0,48.279
JacksonDatabind-103,src_main_java_com_fasterxml_jackson_databind_deser_DeserializerCache.json,false,2065,1601,150,149,0,1,28,28,0,0,8.702
JacksonDatabind-103,src_main_java_com_fasterxml_jackson_databind_deser_std_StdDeserializer.json,false,4506,3541,123,122,0,1,16,16,0,0,21.968
JacksonDatabind-103,src_main_java_com_fasterxml_jackson_databind_deser_std_StdValueInstantiator.json,false,1816,1554,89,88,0,1,11,11,0,0,7.175
JacksonDatabind-103,src_main_java_com_fasterxml_jackson_databind_introspect_BasicBeanDescription.json,false,2557,2081,141,140,0,1,25,25,0,0,11.752
JacksonDatabind-105,src_main_java_com_fasterxml_jackson_databind_deser_std_JdkDeserializers.json,false,209,168,145,145,0,0,34,34,0,0,1.042
JacksonDatabind-107,src_main_java_com_fasterxml_jackson_databind_jsontype_impl_TypeDeserializerBase.json,false,977,763,181,181,0,0,29,29,0,0,3.770
JacksonDatabind-111,src_main_java_com_fasterxml_jackson_databind_deser_std_AtomicReferenceDeserializer.json,false,226,184,33,33,0,0,6,6,0,0,0.789
JacksonDatabind-15,src_main_java_com_fasterxml_jackson_databind_JavaType.json,true,1154,821,52,52,0,0,2,2,0,0,3.543
JacksonDatabind-15,src_main_java_com_fasterxml_jackson_databind_ser_BeanSerializerFactory.json,true,2883,2294,244,244,0,0,35,35,0,0,13.247
JacksonDatabind-15,src_main_java_com_fasterxml_jackson_databind_ser_std_StdSerializer.json,true,917,725,147,147,0,0,23,23,0,0,3.940
JacksonDatabind-16,src_main_java_com_fasterxml_jackson_databind_introspect_AnnotationMap.json,false,436,353,64,64,0,0,10,10,0,0,1.719
JacksonDatabind-17,src_main_java_com_fasterxml_jackson_databind_ObjectMapper.json,false,10324,6974,326,326,0,0,20,20,0,0,38.409
JacksonDatabind-20,src_main_java_com_fasterxml_jackson_databind_node_ObjectNode.json,false,2660,1830,111,111,5,0,13,13,1,0,9.204
JacksonDatabind-25,src_main_java_com_fasterxml_jackson_databind_module_SimpleAbstractTypeResolver.json,false,281,200,63,58,0,5,12,12,0,0,1.151
JacksonDatabind-34,src_main_java_com_fasterxml_jackson_databind_ser_std_NumberSerializer.json,false,356,276,73,73,0,0,16,16,0,0,1.640
JacksonDatabind-39,src_main_java_com_fasterxml_jackson_databind_deser_std_NullifyingDeserializer.json,false,130,107,34,34,4,0,8,8,1,0,0.939
JacksonDatabind-49,src_main_java_com_fasterxml_jackson_databind_ser_impl_WritableObjectId.json,false,233,193,30,30,0,0,7,7,0,0,0.943
JacksonDatabind-59,src_main_java_com_fasterxml_jackson_databind_type_TypeFactory.json,false,5069,3913,412,412,0,0,56,56,0,0,20.591
JacksonDatabind-79,src_main_java_com_fasterxml_jackson_databind_introspect_ObjectIdInfo.json,true,405,345,7,7,0,0,2,2,0,0,1.797
JacksonDatabind-94,src_main_java_com_fasterxml_jackson_databind_jsontype_impl_SubTypeValidator.json,false,382,300,136,136,0,0,27,27,0,0,1.865
JacksonDatabind-99,src_main_java_com_fasterxml_jackson_databind_type_ReferenceType.json,false,919,725,53,53,0,0,9,9,0,0,3.247
Jsoup-16,src_main_java_org_jsoup_nodes_DocumentType.json,false,200,143,115,113,1,2,22,22,0,0,0.840
Jsoup-17,src_main_java_org_jsoup_parser_TreeBuilderState.json,false,9073,7214,14,14,0,0,3,3,0,0,98.262
Jsoup-2,src_main_java_org_jsoup_parser_Parser.json,false,1517,1206,230,230,0,0,42,42,0,0,6.525
Jsoup-24,src_main_java_org_jsoup_parser_TokeniserState.json,false,7356,5927,118,118,0,0,37,37,0,0,43.974
Jsoup-26,src_main_java_org_jsoup_safety_Cleaner.json,false,519,370,45,45,0,0,9,9,0,0,1.864
Jsoup-31,src_main_java_org_jsoup_parser_Token.json,false,822,717,12,12,0,0,3,3,0,0,3.641
Jsoup-31,src_main_java_org_jsoup_parser_TokeniserState.json,false,7406,5977,49,49,0,0,13,13,0,0,44.746
Jsoup-33,src_main_java_org_jsoup_parser_HtmlTreeBuilder.json,false,3277,2742,78,78,0,0,14,14,0,0,17.085
Jsoup-35,src_main_java_org_jsoup_parser_HtmlTreeBuilderState.json,false,9053,7207,2651,2651,0,0,514,514,0,0,96.166
Jsoup-39,src_main_java_org_jsoup_helper_DataUtil.json,false,957,717,315,315,0,0,55,55,0,0,3.773
Jsoup-40,src_main_java_org_jsoup_nodes_DocumentType.json,false,230,164,46,46,0,0,11,11,0,0,0.921
Jsoup-52,src_main_java_org_jsoup_nodes_XmlDeclaration.json,false,184,133,46,41,8,5,10,10,1,0,1.313
Jsoup-54,src_main_java_org_jsoup_helper_W3CDom.json,false,819,619,59,59,0,0,11,11,0,0,4.185
Jsoup-55,src_main_java_org_jsoup_parser_TokeniserState.json,false,7132,5783,69,69,0,0,22,22,0,0,45.792
Jsoup-56,src_main_java_org_jsoup_nodes_DocumentType.json,false,334,241,151,151,0,0,28,28,0,0,1.198
Jsoup-76,src_main_java_org_jsoup_parser_HtmlTreeBuilderState.json,false,9280,7408,2515,2515,1,0,519,519,0,0,95.102
