solution,mismatches,mismatch_pct,total_nodes,human_unsolved,algorithm_cost,human_cost,cost_diff,IdHash,IdHashAnc,FullMap,StructId,StructAnc,OptIDU,FlatSeq,Moved,Comment,BottomUp,GreedyAnchor,NormImport,NormNoPunct,NormNoLit,NormNoId,NormNoPunctLit,APTED:bottom_up_expansion,APTED:final_pass,APTED:flow_control_arm,APTED:flow_control_container,APTED:greedy_anchor_block,APTED:impl,APTED:impl_method,APTED:semantic_node
csharp-jellyfin-sql-query-fix,0,0.00,1249,false,49,41,8,14,216,0,0,0,0,0,10,0,0,1,0,0,0,0,0,0,331,66,0,10,0,0,0
css-add-property,0,0.00,257,false,5,5,0,4,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0
css-playwright-add-class-selector,0,0.00,805,false,5,5,0,13,362,0,0,0,0,0,0,1,1,0,0,0,0,0,0,28,0,0,0,0,0,0,0
go-lazygit-add-to-if-condition,0,0.00,6476,false,12,12,0,47,2996,0,0,0,0,0,0,7,1,0,0,0,0,0,0,24,0,0,0,0,0,0,169
java-add-interface,0,0.00,185,false,23,23,0,2,14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,78,0,0,9,0,0,0
java-add-logging,0,0.00,268,false,60,60,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,81,0,0,82,0,0,0
java-fix-array-index,0,0.00,178,false,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,62,24,0,2,0,0,0
java-refactor-constants,0,0.00,180,false,16,16,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0
javascript-add-array-method,0,0.00,153,false,57,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0
javascript-add-destructuring,0,0.00,134,false,32,31,1,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0
javascript-add-event-listener,0,0.00,146,false,49,49,0,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0
javascript-refactor-arrow-func,0,0.00,172,false,26,26,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0
kotlin-add-data-class,0,0.00,189,false,48,48,0,5,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,42
kotlin-add-null-check,0,0.00,158,false,16,16,0,6,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,31
kotlin-add-validation,0,0.00,192,false,60,60,0,6,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,80
kotlin-fix-loop-bug,0,0.00,266,false,4,4,0,6,81,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,47
kotlin-small-api-change,0,0.00,1565,false,15,15,0,17,674,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,0,0,0,0,0,0,88
python-add-remove-block,0,0.00,315,false,50,50,0,5,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,105
python-added-if-block,0,0.00,349,false,13,13,0,2,108,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,0,0,58,0,0,0
python-added-if-block-small,0,0.00,62,false,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0
python-api-change,0,0.00,434,false,231,231,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,0,0,0,0,197
python-bugfix-loop,0,0.00,338,false,43,43,0,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,158
python-refactoring,0,0.00,267,false,93,93,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,172
rust-add-if,0,0.00,139,false,23,23,0,4,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,34
rust-add-to-existing-use,0,0.00,69,false,7,6,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0
rust-add-value-to-enum,0,0.00,277,false,3,3,0,5,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,19
rust-cost-optimization,0,0.00,418,false,16,16,0,8,142,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,66
rust-data-structure,0,0.00,316,false,145,145,0,4,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,101
rust-hash-optimization,0,0.00,573,false,223,177,46,13,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,4,93,168
rust-hello-world-added-message,0,0.00,56,false,12,12,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,28
rust-hello-world-removed-message,0,0.00,56,false,12,12,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,28
rust-leetcode-1-bugfix,0,0.00,481,false,41,41,0,10,175,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,71,0
rust-no-change,0,0.00,766,false,0,0,0,1,382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rust-tauri-api-build-1,0,0.00,907,false,5,4,1,7,276,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,0,0,0,0,0,0,167
rust-tauri-api-build-2,0,0.00,909,false,4,4,0,7,345,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,0,0,0,0,0,0,98
rust-tauri-cli-ios-dev,0,0.00,5162,false,2,2,0,22,2077,0,0,0,0,0,0,2,1,0,0,0,0,0,0,65,0,0,0,0,0,0,415
rust-turbopack-persistence-tools-main,0,0.00,925,false,12,12,0,10,356,0,0,0,0,0,0,1,1,0,0,0,0,0,0,27,0,0,0,0,0,0,73
rust-zed-git-panel-settings,0,0.00,1232,false,22,22,0,21,182,0,0,0,0,0,0,0,1,0,0,0,0,0,0,40,0,0,0,0,4,277,102
typescript-add-error-handling,0,0.00,185,false,57,57,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0
typescript-add-generics,0,0.00,223,false,46,46,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,99,0,0,31,0,0,0
typescript-add-type-annotations,0,0.00,176,false,40,40,0,1,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,71,0,0,27,0,0,0
typescript-refactor-interface,0,0.00,326,false,48,48,0,2,130,0,0,0,0,0,0,0,2,0,0,0,0,0,0,12,41,0,0,0,0,0,0
