solution,mismatches,mismatch_pct,total_nodes,human_unsolved,algorithm_cost,human_cost,cost_diff,IdHash,IdHashAnc,FullMap,StructId,StructAnc,OptIDU,FlatSeq,Moved,Comment,BottomUp,GreedyAnchor,NormImport,NormNoPunct,NormNoLit,NormNoId,NormNoPunctLit,APTED:bottom_up_expansion,APTED:final_pass,APTED:flow_control_arm,APTED:flow_control_container,APTED:greedy_anchor_block,APTED:impl,APTED:impl_method,APTED:semantic_node
c-linux-small-bugfix,70,0.15,47986,false,140,44,96,0,0,0,152,19507,0,1,41,12,0,0,0,0,0,0,0,0,4022,347,0,0,0,0,0
kotlin-refactor-function,64,24.15,265,false,100,162,-62,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,78
c-nginx-add-typedef,62,0.56,11141,false,150,149,1,0,0,0,25,3144,0,0,0,1,0,4,0,0,0,0,0,0,897,876,0,692,0,0,0
c-freeciv-add-parameter-to-function,60,23.62,254,false,90,9,81,0,0,0,11,29,0,0,0,2,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0
c-linux-small-change-struct-to-char,60,0.26,22754,false,126,38,88,0,0,0,68,10606,0,0,0,20,1,0,0,0,0,0,0,370,0,371,0,0,0,0,0
cpp-laydbird-change-function-signature,60,0.84,7121,false,144,192,-48,0,0,0,29,3016,0,0,26,11,1,2,0,0,0,0,0,9,412,102,0,23,0,0,0
c-cpython-autogenerated-code,58,0.10,57917,false,186,146,40,205,1587,0,0,0,0,1,103,0,10,292,0,0,0,0,0,10,1384,9889,0,16630,0,0,0
kotlin-nextcloud-a-few-small-removals,44,0.64,6892,false,220,208,12,6,109,0,50,1723,0,0,0,1,1,0,0,0,0,0,0,33,0,0,0,0,0,0,1627
cpp-nextcloud-add-test-case,30,0.57,5292,false,1605,1592,13,0,0,0,18,1802,0,0,0,1,0,0,0,0,0,0,0,0,1621,0,0,0,0,0,0
rust-turbopack-persistence-tools-main,30,3.24,925,false,23,12,11,5,9,0,4,133,0,0,0,0,1,0,0,0,0,0,0,27,0,0,0,0,0,0,289
rust-next-font-imports-generator,22,0.46,4761,false,43,29,14,19,80,0,8,1647,0,0,0,0,1,0,0,0,0,0,0,55,0,0,0,0,16,575,0
kotlin-nextcloud-remove-function,20,0.14,14174,false,243,228,15,6,55,0,88,6421,0,0,0,4,1,0,0,0,0,0,0,12,0,0,0,0,0,0,612
rust-firefox-webrenderer-borders,18,0.37,4916,false,50,32,18,30,72,0,42,1499,0,0,0,1,0,0,0,0,0,0,0,0,252,0,0,0,56,520,0
c-postgres-real-logic-change,17,0.11,15327,false,401,49,352,2,31,0,50,5541,0,0,111,28,2,0,0,0,0,0,0,409,0,1688,0,0,0,0,0
c-ffmpeg-added-typedef-to-enum,16,0.65,2478,false,12,6,6,1,26,0,23,710,0,0,0,0,4,0,0,0,0,0,0,10,468,0,0,0,0,0,0
java-add-interface,16,8.65,185,false,29,23,6,0,0,0,2,14,0,0,0,0,0,1,0,0,0,0,0,0,78,0,0,9,0,0,0
rust-algorithm-change,14,3.80,368,false,117,77,40,5,16,0,1,81,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,126
cpp-godot-small-bugfix,11,0.09,11658,false,20,9,11,0,0,0,48,5250,0,0,0,2,7,0,0,0,0,0,0,60,0,472,0,0,0,0,0
csharp-sonarr-change-type,11,1.84,598,false,13,2,11,0,0,0,1,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cpp-tensorflow-switch-to-primitive-types,6,0.13,4603,false,27,15,12,5,30,0,15,494,0,0,0,3,6,3,0,0,0,0,0,149,241,1148,0,221,0,0,0
json-apache-string-change-version,6,0.07,8620,false,7,1,6,0,0,0,1,4309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
typescript-async-await,6,3.06,196,false,73,54,19,1,8,0,1,18,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0
rust-error-handling,5,1.66,301,false,67,60,7,7,10,0,2,18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,146
javascript-fix-promises,3,1.28,235,false,55,52,3,0,0,0,1,19,0,0,0,0,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0
java-add-exception-handling,2,0.60,331,false,41,40,1,0,0,0,3,27,0,0,0,0,0,0,0,0,0,0,0,0,156,0,0,0,0,0,0
go-prometheus-single-comment-change,1,0.23,426,false,2,1,1,0,0,0,1,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rust-sniffnet-protocol,1,0.11,895,false,67,65,2,7,1,0,2,65,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,41,0,315
c-microsoft-terminal-add-function,0,0.00,10966,false,12,12,0,0,0,0,17,550,0,1,0,0,1,1,0,0,0,0,0,31,4843,34,0,11,0,0,0
cpp-add-const-correctness,0,0.00,238,false,6,6,0,0,0,0,2,4,0,0,0,0,0,1,0,0,0,0,0,0,75,0,0,40,0,0,0
cpp-add-memory-management,0,0.00,196,false,26,26,0,0,0,0,2,56,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0
cpp-add-templates,0,0.00,224,false,23,23,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,69,0,0,49,0,0,0
cpp-fix-segfault,0,0.00,340,false,0,0,0,0,0,0,2,87,0,0,0,0,1,0,0,0,0,0,0,2,50,28,0,0,0,0,0
cpp-libreoffice-add-const,0,0.00,12024,false,2,2,0,0,0,0,65,5856,0,0,0,5,1,0,0,0,0,0,0,86,0,0,0,0,0,0,0
cpp-libreoffice-remove-return-value,0,0.00,6863,false,7,7,0,0,0,0,37,3348,0,0,0,7,1,0,0,0,0,0,0,42,0,0,0,0,0,0,0
cpp-ollama-add-function-argument,0,0.00,8816,false,12,12,0,0,0,0,76,3967,0,0,0,9,1,0,0,0,0,0,0,361,0,0,0,0,0,0,0
cpp-opencv-add-test-case,0,0.00,11397,false,583,583,0,0,0,0,13,3795,0,0,0,5,0,0,0,0,0,0,0,0,2177,0,0,0,0,0,0
cpp-optimize-algorithm,0,0.00,295,false,97,97,0,0,0,0,3,49,0,0,0,0,0,0,0,0,0,0,0,0,127,17,0,0,0,0,0
cpp-whitespace-only-change,0,0.00,1856,false,0,0,0,0,0,0,1,927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
csharp-jellyfin-sql-query-fix,0,0.00,1249,false,49,41,8,1,12,0,11,87,0,0,10,0,0,2,0,0,0,0,0,0,359,66,0,100,0,0,0
css-playwright-add-class-selector,0,0.00,805,false,5,5,0,0,0,0,13,362,0,0,0,1,1,0,0,0,0,0,0,28,0,0,0,0,0,0,0
go-lazygit-add-to-if-condition,0,0.00,6476,false,12,12,0,4,30,0,41,2763,0,0,0,5,2,0,0,0,0,0,0,26,0,0,0,0,0,0,373
java-add-logging,0,0.00,268,false,60,60,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,81,0,0,82,0,0,0
java-fix-array-index,0,0.00,178,false,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,62,24,0,2,0,0,0
java-refactor-constants,0,0.00,180,false,16,16,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0
javascript-add-array-method,0,0.00,153,false,57,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0
javascript-add-destructuring,0,0.00,134,false,32,31,1,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0
javascript-add-event-listener,0,0.00,146,false,49,49,0,0,0,0,1,22,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0
javascript-refactor-arrow-func,0,0.00,172,false,26,26,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0
kotlin-add-data-class,0,0.00,189,false,48,48,0,4,13,0,1,34,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,42
kotlin-add-null-check,0,0.00,158,false,16,16,0,5,10,0,1,39,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,31
kotlin-add-validation,0,0.00,192,false,60,60,0,5,14,0,1,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,80
kotlin-fix-loop-bug,0,0.00,266,false,4,4,0,5,20,0,1,61,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,47
kotlin-small-api-change,0,0.00,1565,false,15,15,0,3,2,0,14,672,0,0,0,0,1,0,0,0,0,0,0,10,0,0,0,0,0,0,88
python-add-remove-block,0,0.00,315,false,50,50,0,4,3,0,1,51,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,105
python-added-if-block,0,0.00,349,false,13,13,0,0,0,0,2,108,0,0,0,0,0,1,0,0,0,0,0,0,12,0,0,58,0,0,0
python-added-if-block-small,0,0.00,62,false,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0
python-api-change,0,0.00,434,false,231,231,0,4,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,126,0,0,0,0,0,197
python-bugfix-loop,0,0.00,338,false,43,43,0,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,158
python-refactoring,0,0.00,267,false,93,93,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,172
rust-add-if,0,0.00,139,false,23,23,0,3,2,0,1,40,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,34
rust-add-to-existing-use,0,0.00,69,false,7,6,1,0,0,0,1,20,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0
rust-add-value-to-enum,0,0.00,277,false,3,3,0,3,1,0,1,18,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,89
rust-cost-optimization,0,0.00,418,false,16,16,0,5,11,0,3,131,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,66
rust-data-structure,0,0.00,316,false,145,145,0,3,2,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,101
rust-hash-optimization,0,0.00,573,false,223,177,46,12,13,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,4,93,168
rust-hello-world-added-message,0,0.00,56,false,12,12,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,28
rust-hello-world-removed-message,0,0.00,56,false,12,12,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,28
rust-leetcode-1-bugfix,0,0.00,481,false,41,41,0,8,22,0,2,68,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,156,0
rust-no-change,0,0.00,766,false,0,0,0,0,0,0,1,382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rust-tauri-api-build-1,0,0.00,907,false,5,4,1,3,3,0,3,182,0,0,0,1,1,0,0,0,0,0,0,4,0,0,0,0,0,0,259
rust-tauri-api-build-2,0,0.00,909,false,4,4,0,3,3,0,3,182,0,0,0,1,1,0,0,0,0,0,0,4,0,0,0,0,0,0,259
rust-tauri-cli-ios-dev,0,0.00,5162,false,2,2,0,5,19,0,13,1789,0,0,0,1,1,0,0,0,0,0,0,65,0,0,0,0,0,0,689
rust-zed-git-panel-settings,0,0.00,1232,false,22,22,0,12,12,0,9,170,0,0,0,0,1,0,0,0,0,0,0,40,0,0,0,0,4,277,102
typescript-add-error-handling,0,0.00,185,false,57,57,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0
typescript-add-generics,0,0.00,223,false,46,46,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,99,0,0,31,0,0,0
typescript-add-type-annotations,0,0.00,176,false,40,40,0,1,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,71,0,0,27,0,0,0
